Time Stamp,Flow Rate (GPM),Pressure (PSI),(Cl level) (ppm),Location,meter ID,Consumption,Acoustic Sensor ID,Status,Device ID,Type,Reading,Sensor ID,Reading.1,GIS Coordinates,Water_Price_Per_Unit,WaterAccount,MUC,Unauthorized Bill,Data Entry Error,Delays,Admin Errors,Loss of Records,Longitude,Latitude
2023-12-07 01:00:00,100,50,0.5,Rohini,M1,1800,A1,No Noise Detected,I1,IoT Flow Sensor,0.8 (Chlorine Level),S1,52 (Pressure),"40.712775, -74.005973",0.19245,51603,₹0.00,Yes,No,Yes,No,No,77.080224,28.636103
2023-12-07 01:10:00,95,48,0.4,Lajpat Nagar,M2,1400,A2,High-Frequency Noise Detected,I2, IoT Pressure Sensor,34 (Pressure),S2,0.9 (Chlorine Level),"40.708474, -74.003940",0.170244,21989,₹144622.56,No,No,No,Yes,No,77.216608,28.632959
2023-12-07 01:20:00,80,45,0.3,Tilak Nagar,M3,1000,A3,No Noise Detected,I3, IoT Pressure Sensor,0.4 (Chlorine Level),S3,120 (Flow Rate),"40.701580, -73.999201",0.140869,21989,₹226492.50,No,Yes,No,No,No,77.181937,28.619259
2023-12-07 01:30:00,90,47,0.4,Bali Nagar,M4,2200,A4,No Noise Detected,I4,IoT Flow Sensor,112 ( Flow Rate),S4,0.7 (Chlorine Level),"40.712775, -74.005973",0.185313,53749,₹378048.12,Yes,No,No,No,Yes,77.176596,28.624107
2023-12-07 01:40:00,85,44,0.3,Malviya Nagar,M5,1600,A5,High-Frequency Noise Detected,I5,IoT Flow Sensor,43 (Pressure),S5,45(Pressure),"40.708474, -74.003940",0.1643,35844,₹0.00,No,No,No,Yes,No,77.201074,28.608536
2023-12-07 01:50:00,70,42,0.2,Ashok Nagar,M6,1200,A6,No Noise Detected,I6, IoT Pressure Sensor,56 ( Pressure),S6,140 ( Flow Rate),"40.701580, -73.999201",0.149583,415600,₹106578.55,No,No,Yes,No,No,77.166208,28.612688
2023-12-07 02:00:00,80,45,0.3,Nehru Place,M7,2400,A7,No Noise Detected,I7,IoT Flow Sensor,0.5 ( Chlorine Level),S7,132 (Flow Rate),"40.712775, -74.005973",0.209075,29974,₹0.00,Yes,Yes,No,No,No,77.212271,28.604443
2023-12-07 02:10:00,75,43,0.2,Dwarka,M8,1800,A8,High-Frequency Noise Detected,I8,IoT Flow Sensor,132 ( Flow Rate),S8,0.6 (Chlorine Level),"40.708474, -74.003940",0.127034,418178,₹185081.00,No,No,No,No,Yes,77.092539,28.54002
2023-12-07 02:20:00,60,40,0.1,Mayapuri,M9,1400,A9,No Noise Detected,I9, IoT Pressure Sensor,46 ( Pressure),S9,50 (Pressure),"40.701580, -73.999201",0.22375,419511,₹398745.65,Yes,No,No,No,No,77.144901,28.583083
2023-12-08 12:00,100,50,0.5,Tilak Nagar,M10,2000,A10,High-Frequency Noise Detected,I10, IoT Pressure Sensor,33 (Pressure),S10,120 (Flow Rate),"40.712775, -74.005973",0.1643,16048,₹0.00,No,Yes,Yes,No,No,77.181937,28.619259
2023-12-08 12:05,98,49,0.4,Bali Nagar,M11,1500,A11,No Noise Detected,I11,IoT Flow Sensor,0.7(Chlorine Level),S11,0.7 (Chlorine Level),"40.708474, -74.003940",0.142338,36997,₹0.00,No,No,No,Yes,No,77.176596,28.624107
2023-12-08 12:10,95,48,0.3,Malviya Nagar,M12,1200,A12,No Noise Detected,I12,IoT Flow Sensor,121 ( Flow Rate),S12,45(Pressure),"40.701580, -73.999201",0.185313,249156,₹0.00,No,No,Yes,No,Yes,77.201074,28.608536
2023-12-08 12:15,93,47,0.2,Ashok Nagar,M13,2200,A13,High-Frequency Noise Detected,I13, IoT Pressure Sensor,46 (Pressure),S13,140 ( Flow Rate),"40.712775, -74.005973",0.119469,249156,₹261064.38,Yes,Yes,No,No,No,77.166208,28.612688
2023-12-08 12:20,90,46,0.1,Nehru Place,M14,1800,A14,No Noise Detected,I14,IoT Flow Sensor,57 ( Pressure),S14,132 (Flow Rate),"40.708474, -74.003940",0.209075,249156,₹881115.62,No,No,No,No,Yes,77.212271,28.604443
